iter	Passed	Remaining
0	291	291483
1	380	189953
2	453	150584
3	514	128153
4	643	128128
5	700	115970
6	812	115286
7	893	110831
8	972	107068
9	1174	116294
10	1304	117297
11	1374	113196
12	1478	112250
13	1540	108466
14	1602	105238
15	1669	102677
16	1766	102159
17	1831	99942
18	1903	98303
19	2112	103511
20	2208	102966
21	2410	107153
22	2519	107011
23	2594	105493
24	2666	103976
25	2758	103344
26	2870	103447
27	3405	118222
28	4195	140481
29	4547	147022
30	4644	145166
31	4700	142183
32	4825	141405
33	4908	139469
34	4976	137217
35	5049	135207
36	5152	134092
37	5240	132668
38	5352	131896
39	5446	130713
40	5527	129278
41	5625	128313
42	5704	126961
43	5786	125730
44	5900	125227
45	5984	124113
46	6049	122660
47	6112	121231
48	6186	120069
49	6247	118699
50	6306	117346
51	6360	115963
52	6418	114682
53	6489	113685
54	6552	112586
55	6617	111547
56	6699	110833
57	6764	109871
58	6830	108946
59	6897	108056
60	6976	107387
61	7027	106319
62	7081	105328
63	7135	104357
64	7198	103551
65	7313	103500
66	7413	103229
67	7528	103178
68	7623	102858
69	7735	102767
70	7810	102195
71	7888	101673
72	7954	101006
73	8040	100612
74	8102	99929
75	8182	99487
76	8239	98762
77	8332	98499
78	8401	97949
79	8459	97287
80	8519	96659
81	8618	96480
82	8669	95777
83	8751	95436
84	8818	94923
85	8907	94670
86	8974	94178
87	9038	93667
88	9093	93080
89	9153	92549
90	9221	92109
91	9277	91563
92	9344	91133
93	9438	90972
94	9499	90493
95	9570	90119
96	9625	89608
97	9692	89207
98	9792	89118
99	9941	89470
100	10141	90267
101	10210	89891
102	10269	89430
103	10331	89008
104	10393	88592
105	10447	88112
106	10515	87758
107	10568	87289
108	10633	86923
109	10702	86590
110	10773	86288
111	10892	86362
112	11011	86435
113	11096	86240
114	11168	85947
115	11246	85708
116	11327	85490
117	11386	85110
118	11471	84924
119	11547	84684
120	11603	84291
121	11661	83927
122	11729	83635
123	11788	83282
124	11849	82947
125	11936	82795
126	12013	82581
127	12079	82289
128	12151	82049
129	12278	82172
130	12351	81936
131	12450	81871
132	12531	81687
133	12588	81356
134	12649	81050
135	12736	80914
136	12788	80555
137	12854	80294
138	12904	79936
139	12986	79776
140	13041	79450
141	13107	79200
142	13169	78922
143	13473	80090
144	13550	79899
145	13647	79829
146	13749	79786
147	13952	80322
148	14110	80593
149	14235	80668
150	14390	80910
151	14500	80896
152	14798	81925
153	15100	82956
154	15283	83317
155	15372	83169
156	15530	83390
157	15611	83194
158	15678	82929
159	15898	83469
160	16055	83670
161	16156	83577
162	16230	83344
163	16592	84581
164	16969	85878
165	17226	86549
166	17625	87917
167	17953	88914
168	18118	89091
169	18306	89378
170	18471	89549
171	18583	89459
172	18690	89348
173	18901	89729
174	18971	89437
175	19107	89456
176	19282	89656
177	19350	89360
178	19412	89037
179	19475	88722
180	19542	88426
181	19620	88182
182	19730	88085
183	19831	87946
184	19892	87633
185	19987	87471
186	20151	87611
187	20368	87975
188	20480	87882
189	20573	87706
190	20645	87445
191	20705	87135
192	20776	86872
193	20879	86745
194	20937	86436
195	20990	86103
196	21065	85866
197	21165	85732
198	21216	85397
199	21271	85086
200	21325	84771
201	21375	84444
202	21441	84180
203	21492	83862
204	21544	83549
205	21598	83250
206	21666	83000
207	21715	82686
208	21773	82406
209	21852	82205
210	21919	81966
211	21988	81729
212	22038	81428
213	22106	81194
214	22164	80925
215	22218	80646
216	22270	80356
217	22326	80087
218	22386	79834
219	22437	79551
220	22509	79342
221	22597	79192
222	22653	78933
223	22705	78657
224	22756	78381
225	22812	78127
226	22881	77916
227	22937	77667
228	22990	77406
229	23063	77213
230	23176	77155
231	23229	76898
232	23280	76637
233	23344	76417
234	23399	76173
235	23451	75917
236	23501	75661
237	23559	75429
238	23654	75316
239	23729	75143
240	23794	74936
241	23847	74695
242	23895	74438
243	23952	74213
244	24015	74007
245	24069	73774
246	24118	73527
247	24182	73326
248	24243	73120
249	24293	72880
250	24347	72653
251	24392	72404
252	24464	72233
253	24513	71995
254	24561	71758
255	24608	71519
256	24661	71298
257	24741	71156
258	24793	70934
259	24837	70690
260	25133	71162
261	25274	71194
262	25342	71016
263	25404	70825
264	25454	70600
265	25500	70366
266	25549	70141
267	25597	69916
268	25665	69744
269	25728	69561
270	25782	69355
271	25828	69129
272	25877	68912
273	25949	68756
274	26010	68572
275	26069	68385
276	26145	68243
277	26207	68063
278	26269	67887
279	26324	67692
280	26389	67524
281	26503	67480
282	26628	67464
283	26716	67356
284	26783	67194
285	26851	67033
286	26925	66890
287	26980	66701
288	27041	66528
289	27118	66392
290	27177	66214
291	27242	66053
292	27297	65866
293	27349	65675
294	27436	65567
295	27508	65424
296	27567	65252
297	27668	65178
298	27745	65049
299	27850	64985
300	27924	64847
301	28020	64762
302	28103	64647
303	28163	64479
304	28219	64303
305	28275	64127
306	28336	63964
307	28401	63810
308	28466	63657
309	28518	63475
310	28596	63352
311	28695	63277
312	28760	63125
313	28833	62993
314	28905	62858
315	28958	62681
316	29022	62530
317	29106	62423
318	29171	62274
319	29239	62133
320	29303	61984
321	29369	61839
322	29426	61677
323	29471	61488
324	29523	61317
325	29573	61143
326	29707	61141
327	29766	60985
328	29833	60846
329	29893	60693
330	29954	60541
331	30007	60377
332	30131	60354
333	30275	60368
334	30395	60337
335	30455	60185
336	30509	60023
337	30563	59860
338	30644	59752
339	30711	59616
340	30762	59449
341	30814	59285
342	30866	59122
343	30928	58980
344	30983	58823
345	31037	58667
346	31099	58523
347	31160	58381
348	31216	58229
349	31266	58065
350	31319	57909
351	31388	57783
352	31439	57624
353	31490	57464
354	31552	57328
355	31753	57442
356	31820	57312
357	31878	57167
358	31929	57011
359	31982	56858
360	32060	56750
361	32165	56689
362	32269	56626
363	32377	56572
364	32450	56455
365	32524	56339
366	32594	56218
367	32688	56138
368	32740	55987
369	32797	55844
370	32861	55713
371	32913	55563
372	32965	55414
373	33017	55265
374	33084	55140
375	33144	55006
376	33200	54863
377	33256	54723
378	33326	54605
379	33385	54471
380	33439	54328
381	33486	54174
382	33546	54041
383	33614	53923
384	33666	53779
385	33720	53638
386	33770	53491
387	33832	53364
388	33886	53224
389	33945	53094
390	34023	52992
391	34093	52879
392	34152	52749
393	34201	52604
394	34270	52490
395	34345	52384
396	34396	52244
397	34450	52109
398	34508	51979
399	34589	51884
400	34927	52173
401	35077	52179
402	35171	52102
403	35293	52066
404	35393	51997
405	35472	51898
406	35600	51870
407	35735	51850
408	35803	51735
409	35885	51640
410	35966	51543
411	36042	51439
412	36102	51312
413	36179	51210
414	36290	51156
415	36369	51056
416	36454	50965
417	36535	50869
418	36613	50769
419	36697	50677
420	36807	50621
421	36874	50505
422	36969	50429
423	37038	50316
424	37117	50217
425	37222	50154
426	37312	50070
427	37388	49967
428	37512	49928
429	37612	49858
430	37675	49739
431	37749	49633
432	37876	49597
433	37973	49523
434	38220	49642
435	38486	49784
436	38671	49822
437	38837	49833
438	38926	49744
439	39031	49676
440	39246	49747
441	39565	49949
442	39815	50061
443	39913	49981
444	40027	49921
445	40165	49891
446	40262	49810
447	40375	49748
448	40463	49655
449	40601	49624
450	40666	49503
451	40732	49383
452	40789	49253
453	40855	49134
454	40911	49003
455	40976	48884
456	41042	48766
457	41116	48657
458	41177	48533
459	41236	48407
460	41287	48273
461	41340	48140
462	41405	48023
463	41459	47893
464	41520	47770
465	41581	47649
466	41651	47537
467	41707	47411
468	41767	47288
469	41848	47191
470	41903	47063
471	41952	46930
472	42012	46809
473	42081	46697
474	42140	46576
475	42198	46453
476	42250	46324
477	42349	46247
478	42422	46142
479	42485	46025
480	42535	45895
481	42620	45803
482	42666	45669
483	42722	45546
484	42781	45428
485	42905	45376
486	42981	45275
487	43041	45158
488	43099	45039
489	43169	44931
490	43228	44813
491	43284	44692
492	43338	44569
493	43393	44447
494	43459	44337
495	43522	44224
496	43579	44105
497	43642	43992
498	43702	43877
499	43753	43753
500	43813	43638
501	43898	43548
502	43966	43441
503	44025	43327
504	44076	43203
505	44178	43130
506	44244	43022
507	44303	42908
508	44363	42794
509	44417	42675
510	44477	42562
511	44535	42447
512	44595	42334
513	44647	42215
514	44720	42115
515	44821	42041
516	44960	42003
517	45093	41959
518	45199	41890
519	45297	41813
520	45370	41713
521	45455	41624
522	45529	41524
523	45589	41412
524	45653	41305
525	45722	41202
526	45799	41106
527	45864	41000
528	45917	40882
529	45983	40778
530	46040	40664
531	46097	40551
532	46150	40436
533	46218	40332
534	46277	40222
535	46327	40104
536	46380	39989
537	46447	39886
538	46514	39783
539	46575	39675
540	46636	39567
541	46749	39504
542	46892	39465
543	47055	39443
544	47138	39353
545	47220	39263
546	47353	39216
547	47434	39125
548	47538	39052
549	47624	38965
550	47710	38878
551	47793	38789
552	47945	38755
553	48044	38678
554	48133	38593
555	48244	38526
556	48327	38436
557	48381	38324
558	48448	38221
559	48554	38150
560	48647	38068
561	48726	37975
562	48781	37864
563	48842	37758
564	48887	37639
565	48944	37529
566	49015	37431
567	49072	37322
568	49139	37221
569	49185	37105
570	49236	36992
571	49290	36881
572	49336	36765
573	49403	36665
574	49453	36552
575	49507	36443
576	49565	36336
577	49619	36227
578	49680	36123
579	49743	36021
580	49811	35922
581	49921	35853
582	49999	35763
583	50064	35662
584	50152	35578
585	50283	35524
586	50365	35436
587	50486	35374
588	50556	35277
589	50660	35204
590	50742	35116
591	50823	35026
592	50912	34943
593	51008	34864
594	51077	34767
595	51178	34691
596	51244	34592
597	51303	34488
598	51361	34384
599	51428	34285
600	51485	34180
601	51541	34075
602	51611	33980
603	51680	33883
604	51749	33786
605	51815	33688
606	51866	33580
607	51944	33490
608	52001	33386
609	52049	33277
610	52104	33172
611	52189	33087
612	52311	33025
613	52381	32930
614	52490	32860
615	52554	32761
616	52650	32682
617	52751	32606
618	52819	32511
619	52891	32417
620	52965	32325
621	53051	32240
622	53122	32146
623	53181	32045
624	53267	31960
625	53352	31875
626	53444	31794
627	53522	31704
628	53818	31743
629	54026	31730
630	54189	31689
631	54269	31600
632	54341	31506
633	54407	31408
634	54655	31416
635	54754	31337
636	54812	31235
637	54870	31133
638	54940	31038
639	54988	30930
640	55094	30856
641	55243	30805
642	55317	30712
643	55406	30628
644	55500	30546
645	55583	30459
646	55650	30362
647	55726	30271
648	56157	30371
649	56233	30279
650	56302	30183
651	56357	30080
652	56425	29984
653	56476	29878
654	56530	29775
655	56591	29675
656	56643	29571
657	56709	29475
658	56768	29374
659	56865	29294
660	56949	29207
661	57017	29111
662	57081	29014
663	57150	28919
664	57202	28816
665	57262	28717
666	57322	28618
667	57383	28519
668	57448	28423
669	57513	28327
670	57590	28237
671	57649	28138
672	57710	28040
673	57761	27937
674	57813	27836
675	57889	27745
676	57939	27643
677	58008	27549
678	58107	27470
679	58162	27370
680	58220	27272
681	58271	27170
682	58320	27068
683	58380	26971
684	58432	26870
685	58487	26771
686	58526	26664
687	58597	26573
688	58645	26471
689	58696	26370
690	58746	26270
691	58795	26169
692	58872	26080
693	58928	25982
694	58982	25884
695	59042	25788
696	59097	25690
697	59172	25602
698	59227	25504
699	59281	25406
700	59382	25328
701	59471	25245
702	59522	25146
703	59571	25047
704	59626	24950
705	59686	24855
706	59745	24760
707	59801	24663
708	59890	24581
709	60024	24517
710	60186	24464
711	60250	24370
712	60304	24274
713	60357	24176
714	60423	24085
715	60477	23988
716	60531	23891
717	60587	23796
718	60639	23699
719	60706	23607
720	60753	23509
721	60810	23414
722	60866	23319
723	60933	23228
724	60989	23133
725	61038	23036
726	61093	22941
727	61164	22852
728	61214	22755
729	61262	22658
730	61314	22563
731	61381	22473
732	61439	22379
733	61489	22283
734	61557	22194
735	61621	22103
736	61671	22007
737	61721	21912
738	61776	21818
739	61848	21730
740	61903	21637
741	61958	21543
742	62007	21447
743	62075	21359
744	62142	21270
745	62197	21177
746	62252	21084
747	62384	21017
748	62599	20977
749	62711	20903
750	62784	20816
751	62899	20743
752	62982	20659
753	63063	20575
754	63162	20496
755	63251	20414
756	63369	20341
757	63525	20281
758	63629	20203
759	63701	20116
760	63778	20030
761	63871	19949
762	63997	19878
763	64287	19858
764	64365	19772
765	64471	19694
766	64602	19625
767	64805	19576
768	64933	19505
769	65036	19426
770	65132	19345
771	65225	19263
772	65313	19180
773	65404	19097
774	65508	19018
775	65694	18963
776	65840	18896
777	66018	18838
778	66315	18813
779	66496	18755
780	66567	18666
781	66713	18597
782	66932	18549
783	67049	18472
784	67183	18400
785	67312	18326
786	67412	18245
787	67517	18164
788	67589	18075
789	67665	17987
790	67723	17894
791	67790	17803
792	67849	17711
793	67902	17617
794	67959	17524
795	68020	17432
796	68086	17341
797	68169	17255
798	68234	17165
799	68331	17082
800	68445	17004
801	68501	16911
802	68573	16823
803	68627	16730
804	68693	16639
805	68785	16556
806	68893	16476
807	68983	16392
808	69066	16306
809	69151	16220
810	69279	16145
811	69436	16076
812	69753	16044
813	70032	16002
814	70289	15955
815	70516	15900
816	70671	15829
817	70947	15785
818	71104	15714
819	71233	15636
820	71359	15558
821	71484	15479
822	71663	15412
823	71786	15333
824	71952	15262
825	72075	15182
826	72222	15108
827	72379	15035
828	72502	14955
829	72646	14879
830	72787	14802
831	72979	14736
