iter	Passed	Remaining
0	94	28253
1	190	28318
2	260	25778
3	368	27300
4	470	27765
5	539	26447
6	640	26813
7	730	26673
8	816	26386
9	914	26526
10	1004	26383
11	1092	26227
12	1200	26502
13	1302	26602
14	1542	29304
15	1629	28915
16	1714	28545
17	1790	28054
18	1887	27914
19	1976	27668
20	2053	27279
21	2131	26938
22	2218	26715
23	2305	26511
24	2421	26640
25	2509	26450
26	2603	26320
27	2695	26182
28	2791	26084
29	2877	25901
30	2972	25789
31	3078	25785
32	3177	25706
33	3266	25553
34	3359	25439
35	3450	25300
36	3545	25198
37	3673	25327
38	3792	25377
39	3897	25333
40	3993	25227
41	4076	25044
42	4168	24916
43	4254	24750
44	4348	24641
45	4453	24592
46	4554	24515
47	4638	24352
48	4725	24204
49	4802	24010
50	4903	23939
51	4998	23839
52	5080	23678
53	5166	23534
54	5253	23401
55	5337	23256
56	5425	23127
57	5515	23011
58	5601	22879
59	5680	22721
60	5770	22610
61	5860	22497
62	5943	22358
63	6032	22243
64	6117	22118
65	6199	21981
66	6295	21893
67	6377	21759
68	6455	21613
69	6543	21501
70	6636	21406
71	6729	21308
72	6823	21218
73	6899	21070
74	6981	20943
75	7047	20770
76	7148	20701
77	7230	20578
78	7322	20483
79	7389	20321
80	7474	20209
81	7549	20069
82	7655	20015
83	7760	19955
84	7867	19900
85	7972	19838
86	8075	19770
87	8164	19669
88	8256	19574
89	8333	19445
90	8427	19355
91	8520	19263
92	8602	19148
93	8683	19029
94	8780	18946
95	8870	18850
96	8950	18731
97	9042	18638
98	9125	18527
99	9204	18409
100	9303	18330
101	9393	18234
102	9480	18131
103	9573	18041
104	9654	17930
105	9739	17825
106	9841	17752
107	9943	17678
108	10023	17563
109	10115	17471
110	10200	17367
111	10289	17271
112	10380	17178
113	10457	17062
114	10546	16965
115	10636	16871
116	10723	16772
117	10805	16665
118	10892	16567
119	10977	16466
120	11059	16360
121	11149	16266
122	11227	16156
123	11308	16050
124	11400	15960
125	11476	15848
126	11554	15738
127	11638	15639
128	11719	15535
129	11809	15442
130	11906	15360
131	11993	15264
132	12070	15155
133	12154	15056
134	12240	14960
135	12324	14861
136	12410	14766
137	12493	14666
138	12571	14561
139	12666	14476
140	12755	14384
141	12842	14289
142	12936	14202
143	13025	14110
144	13111	14015
145	13203	13926
146	13285	13827
147	13369	13730
148	13462	13642
149	13541	13541
150	13625	13444
151	13719	13358
152	13816	13274
153	13911	13188
154	14005	13102
155	14090	13006
156	14178	12913
157	14269	12824
158	14349	12724
159	14429	12625
160	14522	12537
161	14601	12437
162	14684	12341
163	14780	12257
164	14866	12163
165	14953	12070
166	15042	11979
167	15129	11887
168	15220	11797
169	15312	11709
170	15417	11630
171	15495	11531
172	15579	11436
173	15663	11342
174	15754	11252
175	15844	11162
176	15925	11067
177	16003	10968
178	16099	10883
179	16184	10789
180	16265	10693
181	16354	10603
182	16434	10507
183	16517	10413
184	16608	10324
185	16692	10230
186	16776	10137
187	16865	10047
188	16952	9956
189	17038	9864
190	17133	9777
191	17230	9692
192	17319	9601
193	17408	9511
194	17493	9419
195	17578	9327
196	17670	9238
197	17756	9147
198	17845	9057
199	17935	8967
200	18018	8874
201	18104	8783
202	18194	8693
203	18270	8597
204	18353	8505
205	18440	8414
206	18524	8322
207	18608	8230
208	18716	8149
209	18824	8067
210	18929	7984
211	19023	7896
212	19109	7805
213	19210	7719
214	19309	7634
215	19419	7552
216	19521	7466
217	19628	7383
218	19733	7298
219	19832	7211
220	19932	7125
221	20038	7040
222	20142	6955
223	20236	6865
224	20317	6772
225	20402	6680
226	20487	6588
227	20567	6495
228	20665	6407
229	20747	6314
230	20828	6221
231	20919	6131
232	21006	6040
233	21100	5951
234	21188	5860
235	21270	5768
236	21359	5677
237	21447	5587
238	21533	5496
239	21619	5404
240	21706	5314
241	21795	5223
242	21881	5132
243	21970	5042
244	22054	4951
245	22139	4859
246	22229	4769
247	22309	4677
248	22389	4585
249	22475	4495
250	22558	4403
251	22645	4313
252	22737	4223
253	22819	4132
254	22901	4041
255	22992	3951
256	23081	3861
257	23166	3771
258	23252	3680
259	23333	3589
260	23412	3498
261	23506	3409
262	23592	3319
263	23674	3228
264	23764	3138
265	23848	3048
266	23926	2957
267	24017	2867
268	24099	2777
269	24186	2687
270	24276	2597
271	24357	2507
272	24439	2417
273	24527	2327
274	24609	2237
275	24691	2147
276	24783	2057
277	24863	1967
278	24947	1877
279	25034	1788
280	25121	1698
281	25204	1608
282	25295	1519
283	25413	1431
284	25507	1342
285	25608	1253
286	25691	1163
287	25775	1073
288	25858	984
289	25942	894
290	26031	805
291	26119	715
292	26195	625
293	26292	536
294	26371	446
295	26448	357
296	26550	268
297	26632	178
298	26713	89
299	26804	0
